"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13-ANTI_TAMP","I/O","",""
"3","PC14-OSC32_IN","I/O","",""
"4","PC15-OSC32_OUT","I/O","",""
"5","PH0 - OSC_IN","I/O","RCC_OSC_IN",""
"6","PH1 - OSC_OUT","I/O","RCC_OSC_OUT",""
"7","NRST","Reset","",""
"8","VSSA","Power","",""
"9","VDDA","Power","",""
"10","PA0-WKUP","I/O","ADC1_IN0","VBAT_SENSE"
"11","PA1","I/O","GPIO_EXTI1","IMU_INT"
"12","PA2","I/O","",""
"13","PA3","I/O","",""
"14","PA4","Output","GPIO_Output","IMU_CS"
"15","PA5","I/O","SPI1_SCK","IMU_SCK"
"16","PA6","I/O","SPI1_MISO","IMU_MISO"
"17","PA7","I/O","SPI1_MOSI","IMU_MOSI"
"18","PB0","I/O","TIM3_CH3","MOTOR3"
"19","PB1","I/O","TIM3_CH4","MOTOR4"
"20","PB2","I/O","",""
"21","PB10","I/O","",""
"22","VCAP1","Power","",""
"23","VSS","Power","",""
"24","VDD","Power","",""
"25","PB12","I/O","",""
"26","PB13","I/O","",""
"27","PB14","I/O","",""
"28","PB15","I/O","",""
"29","PA8","I/O","",""
"30","PA9","I/O","USART1_TX","RX_TX"
"31","PA10","I/O","USART1_RX","RX_RX"
"32","PA11","I/O","USB_OTG_FS_DM",""
"33","PA12","I/O","USB_OTG_FS_DP",""
"34","PA13","I/O","SYS_JTMS-SWDIO",""
"35","VSS","Power","",""
"36","VDD","Power","",""
"37","PA14","I/O","SYS_JTCK-SWCLK",""
"38","PA15","I/O","",""
"39","PB3","I/O","",""
"40","PB4","I/O","TIM3_CH1","MOTOR1"
"41","PB5","I/O","TIM3_CH2","MOTOR2"
"42","PB6","I/O","",""
"43","PB7","I/O","",""
"44","BOOT0","Boot","",""
"45","PB8","I/O","",""
"46","PB9","I/O","",""
"47","VSS","Power","",""
"48","VDD","Power","",""
